"","participant_no","textbox.text"
"1",1,"looking at the graph meaning, then looking to the question and finaly looking at the amount of people questioned"
"2",2,"Paying attention to Y axis and comparing values to actual sample size."
"3",3,"I tried to put a lot of attention on the data written on the sides of the bar charts, since it varied a lot in between questions. I think it would be a good idea to put some kind of highlight on important data on the questions, as it would make them easier to read."
"4",5,"checking what numbers are presented on the graphs and comparing with numbers giving in the task description"
"5",6,"Divide the number questioned by the answer to find the average"
"6",7,"I checked how many people took part in the survey and compared them with the answers"
"7",9,"I didn't had any strategies"
"8",10,"Divide the line below in my head depending the maximum participants and place the marker close to the group average."
"9",11,"I looked at mean of every group and compared it to number of people."
"10",12,"I based my choices on the numbers written on the chart"
"11",13,"the scale did not match everytime with the total number o participants"
"12",14,"Not something specific just try to be correct"
"13",15,"There wasn't really a strategy. If for example 100 people did something and 28 were successful on that, I'd slide the bar close to 1/4"
"14",16,"I think about how much the percentage is all about, i.e. ""30%""."
"15",17,"No strategy, just common sense. The more the people or the questions had positive answers, the better my evaluation would be."
"16",18,"I use the 50% or the middle of the bar as reference, and I used the scale and the size of the bars"
"17",21,"-"
"18",22,"I was looking how many people has taken part in questionnaire and looking on the chart"
"19",23,"I used basic math skills to determine what quantity I was asked to mark and went on from there"
"20",24,"I mainly used fractions using the maximum number and the medium number"
"21",25,"I tried to replicate the number of success cases / by the possible cases in the taskbar"
"22",28,"i double checked the number of people. i dont know if i did this write but if it said 400 people were tested and the bar chart only went up to 100 then i scored it low, i read it as carefully as i could"
"23",31,"My strategy was to read everything and after that judge where to click"
"24",32,"I focused on the numbers in the text and then compared them on a bar graph. Also I tried to split the line in half and another half to decide is it more or less than a half. The study for me was tiring for my eyes, cause of monotonous gray background and bright font."
"25",33,"I just tried to read carefully and use logic"
"26",34,"I just tried to pay attention to the graphs and started at 50% on the bar."
"27",35,"I was checking the graphs carefully, because sometimes they did not present all the date on the left side. In my head, I was separating the chart bars into parts, so I would give the best answer I could."
"28",36,"I tried to chop the scale bar to smaller pieces and I tried to convert numbers to percentages."
"29",37,"Just reading and thinking."
"30",38,"No strategy really, i was just doing my best to read the stats presented by the graph"
"31",39,"I worked out the percentage that the bar chart represented and then tried to position the marker in the place on the line that best matched the original percentage"
"32",40,"I checked the total and the samples each column had. If it were a big difference between the total and the samples the scale was poor, but if it was a small difference, the scale was rich."
"33",41,"No especific strategy other than interpreting the charts correctly and trying to hit the right bar spot."
