item_no,cond,img,upper_lim,prop,seed_no,max_value,trunc_max,trunc_diff,title,variable,sentence1,sentence2,question,left_anchor,right_anchor
1,full,graphs/E1full.png,500,0.1,3,51.293941081206256,50,1.2939410812062562,Online Yoga Classes,Online Yoga Class,"A survey was conducted to investigate the effectiveness of five popular online yoga classes, with a sample size of 500 people who attended each class.","The graph shows, for each online yoga class, the number of people who felt more flexible after the class.",How effective were the yoga classes at improving flexibility?,Very ineffective,Very effective
2,trunc,graphs/E2trunc.png,550,0.15,2,91.23314932164853,75,16.233149321648526,Course Satisfaction,University Course,"A survey was conducted to investigate student satisfaction in five university courses, with a sample size of 550 students who attended each course.","The graph shows, for each university course, the number of students who gave their course positive feedback.",How satisfied were students with their courses?,Very unsatisfied,Very satisfied
3,full,graphs/E3full.png,600,0.2,4,129.81370800667784,100,29.813708006677842,Online Workout Classes,Online Exercise Class,"A survey was conducted to investigate the effectiveness of five popular online workout classes, with a sample size of 600 people who attended each class.","The graph shows, for each online workout class, the number of people who noticed physical improvements.",How effective were the workout classes at improving fitness?,Very ineffective,Very effective
4,trunc,graphs/E4trunc.png,650,0.1,5,76.12436567256543,60,16.124365672565432,Governmental Departments,Governmental Department,"A survey was conducted to investigate the performance of five media companies, with a sample size of 650 employees from each company.","The graph shows, for each media company, how many employees received a pay rise for outstanding performance.",How well did the media companies perform?,Very poor,Very well
5,full,graphs/E5full.png,700,0.15,8,110.88280087918233,90,20.882800879182327,Fitness Apps,Fitness App,"A survey was conducted to investigate the efficacy of five fitness apps, with a sample size of 700 people who used each app.","The graph shows, for each fitness app, the number of people that were still following the fitness programme after 6 months.",How effective were the apps at getting people to continue their fitness programme?,Very ineffective,Very effective
6,trunc,graphs/E6trunc.png,750,0.2,6,162.9539663783643,160,2.9539663783642993,Plant Fertiliser,Plant Fertiliser,"A survey was conducted to investigate the efficacy of five plant fertilisers, with a sample size of 750 seeds which received each fertiliser.","The graph shows, for each fertiliser, the number of seeds which germinated.",How effective were the plant fertilisers?,Very uneffective,Very effective
7,full,graphs/E7full.png,800,0.1,9,83.49045518742626,80,3.4904551874262637,Video Game Issues,Video Game,"A survey was conducted to investigate errors in five video games, with a sample size of 800 gamers who played each game.","The graph shows, for each video game, the number of gamers who found errors.",How frequently were issues found in these games?,Very infrequently,Very frequently
8,trunc,graphs/E8trunc.png,850,0.15,10,130.0036335758238,100,30.003633575823812,Board Games,Board Game,"A survey was conducted to investigate the enjoyability of five new board games, with a sample size of 850 people who played each game.","The graph shows, for each board game, the number of people who ended up playing the game regularly.",How enjoyable did people find the board games?,Very unenjoyable,Very enjoyable
9,full,graphs/E9full.png,900,0.2,16,190.33046365940683,150,40.33046365940683,Ski Jackets,Ski Jacket,"A survey was conducted to investigate customer experiences of five ski jackets, with a sample size of 900 skiers who tested each ski jacket.","The graph shows, for each ski jacket, the number of people who gave the jackets positive feedback.",How satisfied were the skiers with the ski jackets?,Very unsatisfied,Very satisfied
10,trunc,graphs/E10trunc.png,950,0.1,11,106.19564698230039,90,16.19564698230039,Train Punctuality,Train Company,"A survey was conducted to investigate the punctuality of five train companies, with a sample size of 950 trains run by each company.","The graph shows, for each train company, the number of trains which arrived on time.",How punctual were the trains?,Very unpunctual,Very punctual
11,full,graphs/E11full.png,500,0.15,7,86.43623580670263,75,11.436235806702626,Package Delivery,Delivery Company,"A survey was conducted to investigate the performance of five delivery companies, with a sample size of 500 packages delivered by each company.","The graph shows, for each delivery company, the number of packages that were delivered safely.",How careful were the delivery companies at delivering packages?,Very careless,Very careful
12,trunc,graphs/E12trunc.png,550,0.2,12,118.67443209357246,100,18.674432093572463,Allergy Medications,Allergy Medication,"A survey was conducted to investigate the efficacy of five allergy medications, with a sample size of 550 people who trialed each medication.","The graph shows, for each allergy medication, the number of people whose allergies subsided.",How effective were the allergy medications?,Very ineffective,Very effective
13,full,graphs/E13full.png,600,0.1,13,70.65098021736128,60,10.65098021736128,Smoking Cessation,Smoking Cessation Course,"A survey was conducted to investigate the effectiveness of five smoking cessation courses, with a sample size of 600 smokers enrolled in each course.","The graph shows, for each smoking cessation course, the number of people that hadn't relapsed after six months.",How effective were the courses at helping people stop smoking?,Very ineffective,Very effective
14,trunc,graphs/E14trunc.png,650,0.15,14,111.29083544322438,90,21.29083544322438,Excema Medications,Excema Medication,"A survey was conducted to investigate the efficacy of five excema medications, with a sample size of 650 people who trialed each medication.","The graph shows, for each excema medication, the number of people whose excema receded.",How effective were the excema medications?,Very ineffective,Very effective
15,full,graphs/E15full.png,700,0.2,25,142.25072048350623,100,42.25072048350623,Public Transport,Town,"A survey was conducted to investigate public transport popularity in five towns, with a sample size of 700 people from each town.","The graph shows, for each town, how many people took public transport regularly.",How popular was public transport in these towns?,Very unpopular,Very popular
