item_no,title,variable,sentence1,sentence2,question,left_anchor,right_anchor,seed_no
1,Online Yoga Classes,Online Yoga Class,"A survey was conducted to investigate the effectiveness of x popular online yoga classes, with a sample size of y people who attended each class.","The graph shows, for each online yoga class, the number of people who felt more flexible after the class.",How effective were the yoga classes at improving flexibility?,Very ineffective,Very effective,41
2,Course Satisfaction,University Course,"A survey was conducted to investigate student satisfaction in x university courses, with a sample size of y students who attended each course.","The graph shows, for each university course, the number of students who gave their course positive feedback.",How satisfied were students with their courses?,Very unsatisfied,Very satisfied,2
3,Online Workout Classes,Online Exercise Class,"A survey was conducted to investigate the effectiveness of x popular online workout classes, with a sample size of y people who attended each class.","The graph shows, for each online workout class, the number of people who noticed physical improvements.",How effective were the workout classes at improving fitness?,Very ineffective,Very effective,42
4,Governmental Departments,Governmental Department,"A survey was conducted to investigate the performance of x media companies, with a sample size of y employees from each company.","The graph shows, for each media company, how many employees received a pay rise for outstanding performance.",How well did the media companies perform? ,Very poor,Very well,4
5,Fitness Apps,Fitness App,"A survey was conducted to investigate the efficacy of x fitness apps, with a sample size of y people who used each app.","The graph shows, for each fitness app, the number of people that were still following the fitness programme after 6 months.",How effective were the apps at getting people to continue their fitness programme?,Very ineffective,Very effective,43
6,Plant Fertiliser,Plant Fertiliser,"A survey was conducted to investigate the efficacy of x plant fertilisers, with a sample size of y seeds which received each fertiliser.","The graph shows, for each fertiliser, the number of seeds which germinated. ",How effective were the plant fertilisers?,Very uneffective,Very effective,6
7,Video Game Issues,Video Game,"A survey was conducted to investigate errors in x video games, with a sample size of y gamers who played each game. ","The graph shows, for each video game, the number of gamers who found errors.",How frequently were issues found in these games?,Very infrequently,Very frequently,44
8,Board Games,Board Game,"A survey was conducted to investigate the enjoyability of x new board games, with a sample size of y people who played each game.","The graph shows, for each board game, the number of people who ended up playing the game regularly.",How enjoyable did people find the board games?,Very unenjoyable,Very enjoyable,8
9,Ski Jackets,Ski Jacket,"A survey was conducted to investigate customer experiences of x ski jackets, with a sample size of y skiers who tested each ski jacket.","The graph shows, for each ski jacket, the number of people who gave the jackets positive feedback.",How satisfied were the skiers with the ski jackets?,Very unsatisfied,Very satisfied,9
10,Train Punctuality,Train Company,"A survey was conducted to investigate the punctuality of x train companies, with a sample size of y trains run by each company.","The graph shows, for each train company, the number of trains which arrived on time.",How punctual were the trains?,Very unpunctual,Very punctual,53
11,Package Delivery,Delivery Company,"A survey was conducted to investigate the performance of x delivery companies, with a sample size of y packages delivered by each company.","The graph shows, for each delivery company, the number of packages that were delivered safely. ",How careful were the delivery companies at delivering packages?,Very careless,Very careful,11
12,Allergy Medications,Allergy Medication,"A survey was conducted to investigate the efficacy of x allergy medications, with a sample size of y people who trialed each medication.","The graph shows, for each allergy medication, the number of people whose allergies subsided. ",How effective were the allergy medications?,Very ineffective,Very effective,12
13,Smoking Cessation,Smoking Cessation Course,"A survey was conducted to investigate the effectiveness of x smoking cessation courses, with a sample size of y smokers enrolled in each course.","The graph shows, for each smoking cessation course, the number of people that hadn't relapsed after six months.",How effective were the courses at helping people stop smoking?,Very ineffective ,Very effective,13
