item_no,title,sentence1,sentence2,question,left_anchor,right_anchor,seed_no
1,Department Performance,"A survey was conducted to investigate the performance of x departments, with a sample size of y employees from each department.","The graph shows, for each department, how many employees received a pay rise for outstanding performance.",How well did the departments perform at this company? ,Very poor,Very good,1
2,Fitness Program,"A survey was conducted to investigate the efficacy of x fitness apps, with a sample size of y people who used each app.","The graph shows, for each fitness app, the number of people that were still following the fitness program after 6 months.",How effective was the app at getting people to continue their fitness program?,Very ineffective,Very effective,2
3,Plant Fertiliser,"A survey was conducted to investigate the efficacy of x plant fertilisers, with a sample size of y seeds which received each fertiliser.","The graph shows, for each fertiliser, the number of seeds which sprouted. ",How impactful were the plant fertilisers?,Very unimpactful,Very impactful,3
4,Video Game Issues,"A survey was conducted to investigate errors in x video games, with a sample size of y gamers who played each game. ","The graph shows, for each video game, the number of gamers who found errors.",How frequently were issues found in these games?,Very infrequently,Very many issues,4
5,Board Games,"A survey was conducted to investigate the enjoyability of x board games, with a sample size of y people who played each game.","The graph shows, for each board game, the number of people who played the game regularly.",How enjoyable did people find the board games?,Very unenjoyable,Very enjoyable,5
6,Yoga Classes,"A survey was conducted to investigate the effectiveness of x yoga classes, with a sample size of y people who attended each class.","The graph shows, for each yoga class, the number of people who felt more flexible after the class.",How effective were the yoga classes at improving flexibility?,Very ineffective,Very effective,6
7,Ski Jackets,"A survey was conducted to investigate customer experiences of x different ski jackets, with a sample size of y skiers who tested each ski jacket.","The graph shows, for each ski jacket, the number of people who gave the coats positive feedback.",How satisfied were the skiers with the ski jackets?,Very unsatisfied,Very satisfied,7
8,Train Punctuality,"A survey was conducted to investigate the punctuality of x train companies, with  a sample size of y trains run by each company.","The graph shows, for each train company, the number of trains which arrived on time.",How punctual were the trains?,Very unpunctual,Very punctual,8
9,Package Delivery,"A survey was conducted to investigate the performance of x delivery companies, with a sample size of y packages delivered by each company.","The graph shows, for each delivery company, the number of packages that were delivered safely. ",How careful were the delivery companies at delivering packages?,Very careless,Very careful,9
10,Allergy Medications,"A survey was conducted to investigate the efficacy of x allergy medications, with a sample size of y people who trialed each medication.","The graph shows, for each allergy medication, the number of people whose allergies subsided. ",How effective were the allergy medications?,Very ineffective,Very effective,10
11,Smoking Cessation,"A survey was conducted to investigate the effectiveness of x smoking cessation courses, with a sample size of y smokers enrolled in each course.","The graph shows, for each smoking cessation course, the number of people that hadn't relapsed after six months.",How effective were the courses at preventing smoking relapse after 6 months?,Very ineffective ,Very effective,11
12,Physical Rehabilitation,"A survey was conducted to investigate the efficacy of x physical rehabilitation courses, with a sample size of y injured athletes enrolled in each course.","The graph shows, for each physical rehabilitation course, how many athletes fully recovered after completing the course.",How effective were the physical rehabilitation courses?,Very ineffective ,Very effective,12
